Population and dwelling counts: Canada and population centres 1,,,,,,,,,
Frequency: Occasional,,,,,,,,,
Table: 98-10-0011-01,,,,,,,,,
Release date: 2022-02-09,,,,,,,,,
"Geography: Canada, Province or territory, Population centre, Population centre part",,,,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,,,
Variable List: Population and dwelling counts (7),,,,,,,,,
,,,,,,,,,
,,Population and dwelling counts (7),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Chester,Small population centre,N.S.,"1,371","1,362r",0.7,840,674,3.23,424.5
Digby,Small population centre,N.S.,"2,001","2,060",-2.9,"1,133","1,030",3.16,634
Enfield - Lantz,Small population centre,N.S.,"6,583","6,807",-3.3,"2,806","2,724",11.67,563.9
Eskasoni 3,Small population centre,N.S.,"2,575","2,352r",9.5,812,776,5.7,451.7
Glace Bay,Small population centre,N.S.,"16,915","17,604r",-3.9,"8,320","7,680",31.19,542.4
Halifax,Large urban population centre,N.S.,"348,634","317,334r",9.9,"162,336","154,883",238.29,"1,463.10"
Hantsport,Small population centre,N.S.,"1,542","1,560",-1.2,735,703,2.89,532.8
Hayes Subdivision,Small population centre,N.S.,"1,044","1,121",-6.9,435,429,1.1,951.3
Howie Centre,Small population centre,N.S.,"1,106","1,157r",-4.4,501,490,1.67,662.2
Indian Brook 14,Small population centre,N.S.,"2,332",655r,256,965,949,3.89,599.3
Inverness,Small population centre,N.S.,"1,228","1,248",-1.6,633,562,2.73,449.9
Kentville,Small population centre,N.S.,"14,905","14,449r",3.2,"7,015","6,766",27.98,532.7
Kingston - Greenwood,Small population centre,N.S.,"7,118","6,879",3.5,"3,167","3,017",17.22,413.4
Lake Echo,Small population centre,N.S.,"2,365","2,515",-6,"1,031","1,008",4.76,496.5
Liverpool,Small population centre,N.S.,"2,546","2,549",-0.1,"1,339","1,239",3.59,708.5
Lunenburg,Small population centre,N.S.,"2,405","2,262r",6.3,"1,232","1,085",3.35,717.7
Middleton,Small population centre,N.S.,"1,429","1,391",2.7,738,694,2.72,525.4
New Glasgow,Small population centre,N.S.,"19,316","19,137r",0.9,"9,537","8,917",29.82,647.8
New Waterford,Small population centre,N.S.,"6,723","7,416r",-9.3,"3,414","3,196",9.23,728.3
Pictou,Small population centre,N.S.,"2,643","2,711",-2.5,"1,377","1,238",4.35,608
Port Hawkesbury,Small population centre,N.S.,"2,998","3,004",-0.2,"1,441","1,335",5,599.7
Port Williams,Small population centre,N.S.,"1,030","1,120",-8,450,433,1.92,537.7
Shelburne,Small population centre,N.S.,"1,439","1,483r",-3,821,708,2.6,553.1
Springhill,Small population centre,N.S.,"2,654","2,743",-3.2,"1,361","1,235",4.84,548.1
Still Water Lake,Small population centre,N.S.,"3,379","3,447r",-2,"1,153","1,138",8.23,410.7
Sydney Mines,Small population centre,N.S.,"12,353","12,823",-3.7,"5,940","5,552",18.11,682.2
Truro,Small population centre,N.S.,"23,583","23,205r",1.6,"11,368","10,884",31.52,748.3
Windsor,Small population centre,N.S.,"5,514","5,248",5.1,"2,549","2,416",10.56,522
Wolfville,Small population centre,N.S.,"5,057","4,195",20.5,"2,856","2,441",6.46,783.3
Yarmouth,Small population centre,N.S.,"7,848","7,527r",4.3,"4,004","3,668",16.81,466.8
New Brunswick,Province,N.B.,"775,610","747,101",3.8,"366,146","337,651","71,248.50",10.9
Bathurst,Small population centre,N.B.,"15,985","15,867r",0.7,"8,360","7,631",27.92,572.6
Bouctouche,Small population centre,N.B.,"1,944","1,845r",5.4,936,860,4.83,402.6
Campbellton,Small population centre,N.B.,"8,833","8,790r",0.5,"4,474","4,156",17.8,496.1
Caraquet,Small population centre,N.B.,"3,190","3,185r",0.2,"1,579","1,490",7.72,413.1
Chatham - Douglastown,Small population centre,N.B.,"11,594","11,364r",2,"5,759","5,399",27.78,417.4
Dalhousie,Small population centre,N.B.,"2,372","2,351",0.9,"1,276","1,150",2.56,927.4
Edmundston,Small population centre,N.B.,"13,125","12,945r",1.4,"6,629","6,260",19.06,688.6
Fredericton,Medium population centre,N.B.,"64,614","61,014r",5.9,"30,406","28,989",89.6,721.1
Grand Falls / Grand-Sault,Small population centre,N.B.,"4,349","4,490r",-3.1,"2,262","2,127",7.17,606.2
Hampton,Small population centre,N.B.,"3,499","3,436",1.8,"1,421","1,370",7.73,452.8
McEwen,Small population centre,N.B.,"1,445","1,462",-1.2,746,725,0.83,"1,742.00"
Moncton,Large urban population centre,N.B.,"119,785","109,075r",9.8,"54,519","51,830",110.73,"1,081.80"
New Maryland,Small population centre,N.B.,"2,179","2,219",-1.8,793,788,2.7,806.5
Oromocto,Small population centre,N.B.,"8,585","8,810r",-2.6,"3,708","3,483",10,858.3
Quispamsis - Rothesay,Small population centre,N.B.,"24,881","24,549r",1.4,"9,753","9,523",37.05,671.5
Richibucto 15,Small population centre,N.B.,"1,464","1,435r",2,555,541,2.52,582
Sackville,Small population centre,N.B.,"3,798","3,053r",24.4,"2,085","1,758",6,633.2
Saint Andrews,Small population centre,N.B.,"1,715","1,511r",13.5,920,789,2.55,672.4
Saint John,Medium population centre,N.B.,"63,447","61,152r",3.8,"31,074","29,108",70.05,905.8
Saint-Antoine,Small population centre,N.B.,"1,383","1,353r",2.2,593,567,2.57,538.8
Saint-Quentin,Small population centre,N.B.,"2,141","2,194",-2.4,"1,015",976,4.24,504.7
Salisbury,Small population centre,N.B.,"1,546","1,534",0.8,662,641,2.7,573.4
Shediac,Small population centre,N.B.,"8,563","7,712r",11,"4,579","3,927",14.06,609.1
Shippagan,Small population centre,N.B.,"2,189","2,130",2.8,"1,043",979,2.84,771.4
St. Leonard,Small population centre,N.B.,"1,043","1,119r",-6.8,506,453,2.01,519.1
St. Stephen,Small population centre,N.B.,"3,389","3,233",4.8,"1,752","1,598",3.57,948.3
Starlight Village,Small population centre,N.B.,"2,222","2,193r",1.3,767,762,5.27,421.5
Sussex,Small population centre,N.B.,"5,447","5,308r",2.6,"2,706","2,533",10.65,511.5
Tracadie-Sheila,Small population centre,N.B.,"4,528","4,322r",4.8,"2,170","2,072",9.68,467.8
Wells,Small population centre,N.B.,"1,263","1,266",-0.2,467,460,2.88,438.9
Woodstock,Small population centre,N.B.,"4,602","4,332r",6.2,"2,153","2,041",4.5,"1,023.10"
Quebec 2,Province,Que.,"8,501,833","8,164,361",4.1,"4,050,164","3,749,035","1,298,599.75",6.5
Acton Vale,Small population centre,Que.,"5,220","5,617r",-7.1,"2,466","2,394",5.58,936
Alençon,Small population centre,Que.,"1,585","1,567r",1.1,755,721,2.98,532.3
Alma,Small population centre,Que.,"20,274","21,490r",-5.7,"9,987","9,533",15.94,"1,272.20"
Amos,Small population centre,Que.,"9,281","10,005",-7.2,"4,794","4,542",8.43,"1,101.20"
Amqui,Small population centre,Que.,"4,560","4,729r",-3.6,"2,329","2,219",6.53,698
Angers,Small population centre,Que.,"7,259","6,973",4.1,"2,844","2,781",4.76,"1,524.20"
Asbestos,Small population centre,Que.,"5,623","5,388r",4.4,"2,933","2,805",5.17,"1,087.30"
Ayer's Cliff,Small population centre,Que.,"1,087",963r,12.9,568,478,2.32,467.8
Baie-Comeau,Small population centre,Que.,"9,100","9,610",-5.3,"4,487","4,221",11.28,806.5
Baie-Saint-Paul,Small population centre,Que.,"4,308","4,868",-11.5,"2,171","2,068",4.03,"1,069.50"
Barraute,Small population centre,Que.,"1,090","1,099",-0.8,542,523,1.32,823.6
Beauceville,Small population centre,Que.,"3,598","3,769",-4.5,"1,743","1,655",6.07,592.5
Beaumont,Small population centre,Que.,"1,209","1,210",-0.1,501,481,1.64,738.4
Beaupré,Small population centre,Que.,"6,342","6,053r",4.8,"3,560","2,923",11.21,565.8
Bedford,Small population centre,Que.,"2,548","2,555r",-0.3,"1,319","1,228",3.86,660.2
Beloeil,Medium population centre,Que.,"52,959","51,132r",3.6,"22,212","21,811",26.5,"1,998.50"
Berthierville,Small population centre,Que.,"4,677","4,715",-0.8,"2,307","2,241",5.11,916.1
Betsiamites,Small population centre,Que.,"2,104","2,105",0,732,716,1.78,"1,183.60"
Black Lake,Small population centre,Que.,"3,266","3,298",-1,"1,653","1,571",2.33,"1,400.50"
Bonaventure,Small population centre,Que.,"1,447","1,439",0.6,741,717,2.85,507.9
Bromont,Small population centre,Que.,"5,345","4,365r",22.5,"3,090","2,505",7.92,674.9
Bromptonville,Small population centre,Que.,"3,862","3,687r",4.7,"1,615","1,569",6.64,581.7
Brownsburg,Small population centre,Que.,"1,315","1,425",-7.7,682,635,1,"1,308.70"
Buckingham,Small population centre,Que.,"17,407","16,791r",3.7,"8,012","7,746",19.74,881.7
Cabano,Small population centre,Que.,"2,419","2,456r",-1.5,"1,244","1,150",3.02,802.1
Cap-Saint-Ignace,Small population centre,Que.,"1,160","1,214",-4.4,518,488,2.47,469.8
Cap-aux-Meules,Small population centre,Que.,"2,516","2,569r",-2.1,"1,173","1,130",6.17,407.9
Carleton,Small population centre,Que.,"1,198","1,117r",7.3,611,591,1.03,"1,166.60"
Causapscal,Small population centre,Que.,"1,013","1,041",-2.7,556,510,1.77,570.7
Chandler,Small population centre,Que.,"2,189","2,285",-4.2,"1,136","1,082",1.93,"1,136.40"
Chapais,Small population centre,Que.,"1,289","1,318",-2.2,625,572,1.03,"1,247.70"
Chibougamau,Small population centre,Que.,"6,491","6,862",-5.4,"3,200","2,895",6,"1,081.20"
Chicoutimi - Jonquière,Large urban population centre,Que.,"103,934","104,741r",-0.8,"52,088","49,552",94.56,"1,099.10"
Chisasibi,Small population centre,Que.,"3,565","3,682r",-3.2,969,772,5.42,657.2
Château-Richer,Small population centre,Que.,"2,482","2,396r",3.6,"1,123","1,073",3.54,701.5
Châteauguay,Medium population centre,Que.,"75,891","71,164",6.6,"30,928","30,221",50.48,"1,503.40"
Clermont,Small population centre,Que.,"2,693","2,765",-2.6,"1,309","1,258",3.72,723.3
Coaticook,Small population centre,Que.,"6,333","6,524",-2.9,"3,093","2,975",8.7,728.3
Contrecoeur,Small population centre,Que.,"7,768","6,273r",23.8,"3,446","3,346",6.25,"1,243.00"
Cowansville,Small population centre,Que.,"13,334","12,028r",10.9,"6,684","6,427",16.35,815.3
Crabtree,Small population centre,Que.,"2,802","3,025r",-7.4,"1,209","1,172",2.02,"1,387.20"
Danville,Small population centre,Que.,"1,652","1,577",4.8,854,805,2.34,706.7
Daveluyville,Small population centre,Que.,"1,345","1,306r",3,670,629,2.53,531.9
Disraeli,Small population centre,Que.,"2,228","2,212",0.7,"1,266","1,175",2.59,859.3
Dolbeau,Small population centre,Que.,"10,849","11,494r",-5.6,"5,346","5,017",10.49,"1,034.40"
Domaine-C.-L.-C.,Small population centre,Que.,"1,662","1,521",9.3,636,624,1.91,871.8
Domaine-Ouellet,Small population centre,Que.,"3,391","2,894",17.2,"1,143","1,131",1.17,"2,910.20"
Donnacona,Small population centre,Que.,"8,952","8,564r",4.5,"4,145","4,015",9.78,915.1
Drummondville,Medium population centre,Que.,"72,089","68,634r",5,"34,938","33,834",52.3,"1,378.30"
Dégelis,Small population centre,Que.,"1,751","1,798",-2.6,934,876,2.17,807.7
East Angus,Small population centre,Que.,"3,678","3,502r",5,"1,640","1,578",4.9,751.3
East Broughton,Small population centre,Que.,"1,866","1,866r",0,880,842,1.57,"1,184.90"
Farnham,Small population centre,Que.,"7,869","6,772r",16.2,"3,758","3,538",5.93,"1,326.80"
Ferme-Neuve,Small population centre,Que.,"1,663","1,706",-2.5,851,811,1.6,"1,037.40"
Fermont,Small population centre,Que.,"2,151","2,288",-6,"1,459",927,1.45,"1,484.00"
Filion,Small population centre,Que.,"3,572","4,244r",-15.8,"1,425","1,406",3.49,"1,024.10"
Forestville,Small population centre,Que.,"2,193","2,333",-6,"1,209","1,131",2.9,756.8
Fort-Coulonge,Small population centre,Que.,"2,263","2,369r",-4.5,970,929,3.83,590.7
Fossambault-sur-le-Lac,Small population centre,Que.,"3,367","2,931r",14.9,"1,666","1,369",6.44,522.7
Gaspé,Small population centre,Que.,"2,803","2,609",7.4,"1,377","1,322",4.95,566
Gentilly,Small population centre,Que.,"1,634","1,673",-2.3,901,848,1.6,"1,018.30"
Godefroy,Small population centre,Que.,"1,463","1,410",3.8,633,615,0.79,"1,855.40"
Granby,Medium population centre,Que.,"62,624","59,706r",4.9,"30,176","29,320",48.39,"1,294.10"
Grande-Rivière,Small population centre,Que.,"1,330","1,517",-12.3,733,698,3.31,401.3
Hauterive,Small population centre,Que.,"11,147","11,549",-3.5,"5,441","5,130",8.67,"1,285.50"
Havre-Saint-Pierre,Small population centre,Que.,"2,890","3,015r",-4.1,"1,364","1,235",2.18,"1,323.60"
Hudson,Small population centre,Que.,"24,245","22,158r",9.4,"8,892","8,747",34.67,699.3
Huntingdon,Small population centre,Que.,"2,673","2,553r",4.7,"1,336","1,263",2.51,"1,063.80"
Inukjuak,Small population centre,Que.,"1,671","1,438r",16.2,531,431,1.98,845.6
Joliette,Medium population centre,Que.,"49,246","46,277r",6.4,"24,181","23,066",39.03,"1,261.70"
Kingsey Falls,Small population centre,Que.,"1,419","1,452",-2.3,596,580,2.77,512.4
Kuujjuaq,Small population centre,Que.,"1,958","2,219r",-11.8,910,709,2.46,797.1
L'Ange-Gardien,Small population centre,Que.,"1,720","1,600r",7.5,695,677,1.47,"1,168.70"
L'Assomption,Small population centre,Que.,"16,443","16,024r",2.6,"6,837","6,722",11.63,"1,413.70"
L'Épiphanie,Small population centre,Que.,"7,607","7,385r",3,"3,152","3,073",10.1,753
La Malbaie,Small population centre,Que.,"3,534","3,520",0.4,"1,990","1,725",3.97,890.2
La Pocatière,Small population centre,Que.,"3,921","3,954r",-0.8,"2,095","1,884",5.22,751
La Sarre,Small population centre,Que.,"5,629","5,547r",1.5,"2,891","2,715",5.9,954.8
La Tuque,Small population centre,Que.,"7,464","7,571r",-1.4,"4,041","3,742",6.33,"1,179.00"
Labelle,Small population centre,Que.,"1,244","1,179r",5.5,637,597,2.77,448.3
Lac-Alouette,Small population centre,Que.,"4,687","4,557r",2.9,"2,010","1,945",6.78,691.5
Lac-Connelly,Small population centre,Que.,"1,272","1,212",5,697,591,2.16,590.2
Lac-Etchemin,Small population centre,Que.,"1,769","1,782",-0.7,806,729,1.65,"1,070.00"
Lac-Lapierre,Small population centre,Que.,"2,533","2,480",2.1,"1,090","1,034",2.6,972.8
Lac-Mégantic,Small population centre,Que.,"5,808","5,664r",2.5,"3,144","2,942",9.32,623.1
Lac-Simon,Small population centre,Que.,"1,134","1,333r",-14.9,286,285,2.25,503
Lachute,Small population centre,Que.,"11,221","10,565r",6.2,"5,477","5,250",9.59,"1,169.80"
Lacolle,Small population centre,Que.,"1,729","1,601r",8,798,767,3.41,506.9
Laurentides,Small population centre,Que.,"15,768","13,023r",21.1,"6,224","6,032",12.78,"1,234.10"
Laurier-Station,Small population centre,Que.,"1,856","1,894",-2,875,845,2.97,624.1
Lavaltrie,Small population centre,Que.,"11,301","10,767",5,"4,683","4,583",7.03,"1,607.70"
Le Bic,Small population centre,Que.,"1,132","1,115",1.5,513,498,1.23,919.8
LeBlanc,Small population centre,Que.,"1,186","1,518r",-21.9,481,462,1.69,700.9
Lebel-sur-Quévillon,Small population centre,Que.,"1,931","2,015",-4.2,"1,071",864,2.33,828.5
Les Coteaux,Small population centre,Que.,"19,582","17,396",12.6,"8,213","7,938",18.13,"1,080.20"
Les Cèdres,Small population centre,Que.,"2,214","2,233",-0.9,925,904,1.79,"1,240.20"
Les Escoumins,Small population centre,Que.,"1,274","1,339",-4.9,652,617,1.61,792.4
Linière,Small population centre,Que.,"1,400","1,385",1.1,632,614,1.61,872
Louiseville,Small population centre,Que.,"5,577","5,416r",3,"2,983","2,829",4,"1,394.40"
Luceville,Small population centre,Que.,"1,118","1,143r",-2.2,519,499,1.33,842.1
Macamic,Small population centre,Que.,"1,352","1,307",3.4,625,605,2,676
Magog,Small population centre,Que.,"22,222","21,001r",5.8,"11,572","10,774",19.57,"1,135.60"
Malartic,Small population centre,Que.,"2,996","2,972",0.8,"1,464","1,332",1.68,"1,778.70"
Maliotenam,Small population centre,Que.,"1,458","1,363",7,486,475,0.8,"1,829.60"
Manawan,Small population centre,Que.,"1,597","1,648",-3.1,315,271,0.86,"1,866.30"
Maniwaki,Small population centre,Que.,"4,094","3,891r",5.2,"2,302","2,055",6.05,677
Maria,Small population centre,Que.,"1,421","1,422r",-0.1,618,582,2.97,478.7
Marieville,Small population centre,Que.,"10,015","9,253r",8.2,"4,237","4,153",6.74,"1,485.70"
Maskinongé,Small population centre,Que.,"1,409","1,368",3,659,643,2.15,655.9
Matagami,Small population centre,Que.,"1,340","1,396",-4,695,584,1.73,776.5
Matane,Small population centre,Que.,"10,371","10,787",-3.9,"5,756","5,416",10.16,"1,020.70"
Melocheville,Small population centre,Que.,"3,039","2,694r",12.8,"1,391","1,355",2.34,"1,296.80"
Mistissini,Small population centre,Que.,"3,190","3,523r",-9.5,938,843,3.05,"1,047.00"
Mont-Joli,Small population centre,Que.,"5,730","5,660r",1.2,"2,826","2,717",7.96,720.2
Mont-Laurier,Small population centre,Que.,"7,634","7,841r",-2.6,"4,092","3,887",10.4,733.8
Mont-Saint-Grégoire,Small population centre,Que.,"1,021","1,015r",0.6,388,374,1.4,730.9
Montagnac,Small population centre,Que.,"1,041",913r,14,456,404,2.6,401.1
Montmagny,Small population centre,Que.,"8,881","9,041",-1.8,"4,766","4,528",6.73,"1,318.70"
Montréal,Large urban population centre,Que.,"3,675,219","3,528,651r",4.2,"1,667,662","1,581,599","1,382.47","2,658.50"
Métabetchouan,Small population centre,Que.,"2,222","2,167r",2.5,"1,016",966,2.52,882.5
Napierville,Small population centre,Que.,"4,740","4,708",0.7,"2,047","1,927",5.8,817.3
Neuville,Small population centre,Que.,"2,543","2,512r",1.2,"1,125","1,079",3.98,639.4
New Richmond,Small population centre,Que.,"1,886","1,901",-0.8,984,943,4.04,467.2
Nicolet,Small population centre,Que.,"6,083","5,669",7.3,"2,704","2,593",6.03,"1,008.50"
Normandin,Small population centre,Que.,"1,880","1,910",-1.6,918,872,1.93,975.1
Notre-Dame-du-Bon-Conseil,Small population centre,Que.,"1,149","1,018",12.9,492,478,1.39,828.2
Notre-Dame-du-Lac,Small population centre,Que.,"1,207","1,184",1.9,667,597,2.6,464.9
Notre-Dame-du-Mont-Carmel,Small population centre,Que.,"1,126","1,091",3.2,475,467,1.25,899.6
Obedjiwan,Small population centre,Que.,"1,259","1,404",-10.3,277,272,0.63,"1,998.10"
Oka,Small population centre,Que.,"1,299","1,269r",2.4,631,605,1,"1,301.60"
Ormstown,Small population centre,Que.,"1,785","1,735r",2.9,832,798,2.06,866.5
Papineauville,Small population centre,Que.,"1,126","1,105",1.9,611,557,1.58,710.5
Parc-Boutin,Small population centre,Que.,"1,246","1,127",10.6,452,444,2.67,466.9
Pierreville,Small population centre,Que.,"1,863","1,842r",1.1,"1,010",945,2.92,638.8
Plessisville,Small population centre,Que.,"7,028","7,228r",-2.8,"3,720","3,418",5.87,"1,197.70"
Pont-Rouge,Small population centre,Que.,"6,579","6,262r",5.1,"2,803","2,730",6.67,986.3
Port-Alfred-Bagotville,Small population centre,Que.,"13,350","13,865",-3.7,"6,518","6,270",13.11,"1,018.30"
Port-Cartier,Small population centre,Que.,"5,400","5,609",-3.7,"2,687","2,440",4.88,"1,105.80"
Portneuf,Small population centre,Que.,"2,107","2,004",5.1,"1,125","1,061",3.11,676.9
Price,Small population centre,Que.,"1,640","1,679",-2.3,755,722,1.89,866.8
Princeville,Small population centre,Que.,"4,396","4,448r",-1.2,"2,096","2,020",3.97,"1,106.90"
Puvirnituq,Small population centre,Que.,"1,456","1,038",40.3,449,348,0.87,"1,674.50"
Québec,Large urban population centre,Que.,"733,156","708,280r",3.5,"365,801","345,423",442.85,"1,655.50"
Rawdon,Small population centre,Que.,"5,680","5,289r",7.4,"2,864","2,700",7.68,739.7
Richmond,Small population centre,Que.,"3,079","3,046",1.1,"1,634","1,528",5.37,573
Rigaud,Small population centre,Que.,"3,038","3,613",-15.9,"1,429","1,368",2.49,"1,221.10"
Rimouski,Medium population centre,Que.,"38,708","38,478r",0.6,"20,231","19,158",27.79,"1,392.70"
Rivière-Beaudette,Small population centre,Que.,"1,854","1,592r",16.5,812,752,3.47,534.4
Rivière-au-Renard,Small population centre,Que.,"1,045","1,106r",-5.5,524,496,2.1,498.6
Rivière-du-Loup,Small population centre,Que.,"19,081","18,321r",4.1,"9,454","8,993",20.17,945.8
Roberval,Small population centre,Que.,"8,056","8,360r",-3.6,"3,980","3,762",5.36,"1,503.40"
Rougemont,Small population centre,Que.,"1,668","1,593r",4.7,723,709,3.33,500.4
Rouyn-Noranda,Small population centre,Que.,"23,186","23,569r",-1.6,"12,414","11,534",22.18,"1,045.20"
Roxton Falls,Small population centre,Que.,"1,042","1,046r",-0.4,521,498,2.28,457.5
Roxton Pond,Small population centre,Que.,"2,701","2,301",17.4,"1,195","1,122",3.28,823
Saint Grégoire,Small population centre,Que.,"1,651","1,597r",3.4,719,694,1.4,"1,175.80"
Saint-Agapit,Small population centre,Que.,"3,168","2,977r",6.4,"1,399","1,359",2.26,"1,404.10"
Saint-Alexandre,Small population centre,Que.,"1,466","1,304",12.4,552,535,1.93,758.7
Saint-Alexandre,Small population centre,Que.,"1,342","1,093",22.8,503,491,1.29,"1,038.90"
Saint-Alexis-des-Monts,Small population centre,Que.,"1,503","1,546",-2.8,868,787,3.37,446.2
Saint-Amable,Small population centre,Que.,"11,199","10,144r",10.4,"4,362","4,289",7.9,"1,417.80"
Saint-Ambroise,Small population centre,Que.,"1,651","1,678",-1.6,723,700,0.89,"1,845.90"
Saint-Ambroise-de-Kildare,Small population centre,Que.,"1,883","1,792r",5.1,765,755,2.47,763.8
Saint-André-Avellin,Small population centre,Que.,"1,642","1,903",-13.7,813,777,2.38,688.7
Saint-Anselme,Small population centre,Que.,"2,729","2,688r",1.5,"1,219","1,166",3.35,814.2
Saint-Apollinaire,Small population centre,Que.,"4,933","3,335",47.9,"2,095","2,049",4.43,"1,113.10"
Saint-Augustin,Small population centre,Que.,"11,769","9,453r",24.5,"4,655","4,568",11.35,"1,036.70"
Saint-Basile-Sud,Small population centre,Que.,"1,444","1,387",4.1,715,683,1.94,745.5
Saint-Bernard,Small population centre,Que.,"1,223","1,075",13.8,505,495,0.88,"1,394.80"
Saint-Boniface,Small population centre,Que.,"1,365","1,307r",4.4,596,582,2.43,560.8
Saint-Bruno,Small population centre,Que.,"1,868","1,756",6.4,829,803,1.16,"1,616.90"
Saint-Charles,Small population centre,Que.,"1,357","1,482",-8.4,602,585,1.38,983.4
Saint-Chrysostome,Small population centre,Que.,"1,171","1,218",-3.9,550,510,1.44,814.2
Saint-Cyrille-de-Wendover,Small population centre,Que.,"1,315","1,216",8.1,545,522,0.94,"1,398.00"
Saint-Césaire,Small population centre,Que.,"3,869","3,815",1.4,"1,769","1,699",2.35,"1,647.20"
Saint-Damase,Small population centre,Que.,"1,139","1,138",0.1,504,491,1.99,572.8
